2024-01-13 12:00:00, 0.01, a1
2024-01-12 14:30:00, 0.01, a2
2024-01-11 16:45:00, 0.01, a3
2024-01-10 10:15:00, 0.01, a4
2024-01-09 08:30:00, 0.01, a5
2024-01-08 19:20:00, 0.01, b1
2024-01-07 21:10:00, 0.01, b2
2024-01-06 23:55:00, 0.01, b3
2024-01-05 17:30:00, 0.01, b4
2024-01-04 13:40:00, 0.01, b5
2024-01-03 09:50:00, 0.01, c1
2024-01-02 18:15:00, 0.01, c2
2024-01-01 20:25:00, 0.01, c3
2023-12-31 22:35:00, 0.01, c4
2023-12-30 11:05:00, 0.01, c5
2023-12-29 15:55:00, 0.01, a1
2023-12-28 07:45:00, 0.01, a2
2023-12-27 03:20:00, 0.01, a3
2023-12-26 05:30:00, 0.01, a4
2023-12-25 14:10:00, 0.01, a5
2023-12-24 16:40:00, 0.01, b1
2023-12-23 18:50:00, 0.01, b2
2023-12-22 21:00:00, 0.01, b3
2023-12-21 09:15:00, 0.01, b4
2023-12-20 12:25:00, 0.01, b5
2023-12-19 07:05:00, 0.01, c1
2023-12-18 04:55:00, 0.01, c2
2023-12-17 01:30:00, 0.01, c3
2023-12-16 23:40:00, 0.01, c4
2023-12-15 06:20:00, 0.01, c5
